Season,TeamID,E/W,Conference Finalist,W/L,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,MOV,Pace,eFG%,Attendance,Standings_Bucket
2015,17,0.0,0.0,1.0,37.6,82.0,6.6,18.3,16.0,21.1,10.7,31.4,23.6,9.6,4.9,16.7,22.1,97.8,24.6,0.43,94.1,0.499,593910,1.0
2015,18,1.0,0.0,0.24242424242424246,36.4,83.2,5.0,14.9,20.0,25.7,11.6,29.3,21.6,8.1,4.0,15.0,19.2,97.8,24.4,-8.79,94.4,0.468,595652,2.0
2015,12,0.0,0.0,0.8636363636363636,36.6,83.2,7.5,21.2,16.7,22.2,10.4,34.4,21.4,6.2,4.6,14.0,21.2,97.3,28.3,0.28,93.2,0.484,691434,2.0
2015,22,0.0,0.0,0.43859649122807015,37.5,82.8,6.8,19.5,13.9,19.1,10.0,31.8,20.6,7.9,3.8,14.9,20.9,95.7,24.3,-5.72,93.8,0.494,688194,2.0
2015,29,1.0,0.0,0.8636363636363636,35.4,79.2,7.4,21.7,17.0,23.5,12.0,31.9,19.9,7.6,6.0,15.3,19.3,95.1,23.4,0.22,90.4,0.494,772059,2.0
2015,16,0.0,0.0,0.8222222222222222,35.2,77.2,6.8,20.2,17.5,23.7,9.1,30.0,19.8,7.8,4.5,14.8,20.0,94.7,28.5,-2.6,90.9,0.5,808223,2.0
2015,4,0.0,0.0,0.6734693877551021,35.5,84.5,6.1,19.1,17.0,22.8,10.0,34.1,20.2,6.1,5.5,11.9,18.2,94.2,26.0,-3.17,93.0,0.456,704886,2.0
2015,23,0.0,0.0,0.28125,33.7,82.6,8.4,26.3,16.1,23.8,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92.0,23.2,-8.98,95.7,0.459,571572,2.0
2015,20,0.0,0.0,0.26153846153846155,35.1,82.0,6.8,19.7,14.8,19.2,10.6,29.8,21.3,7.0,4.7,14.7,21.6,91.9,26.9,-9.32,91.2,0.47,812292,2.0
2014,13,1.0,0.0,2.28,39.1,82.5,8.5,24.0,21.2,29.1,10.5,32.5,24.6,8.6,4.8,13.9,21.5,107.9,28.1,6.98,95.9,0.526,787692,0.0
2014,11,1.0,0.0,1.9285714285714288,38.0,80.5,9.5,26.6,22.1,31.1,11.2,34.1,21.4,7.6,5.6,16.1,20.4,107.7,25.4,4.56,96.3,0.531,743082,0.0
2014,18,1.0,0.0,0.9523809523809524,38.9,87.5,7.3,21.4,21.8,28.1,12.5,32.2,23.9,8.8,3.6,13.9,18.3,106.9,26.3,2.67,97.3,0.486,597157,2.0
2014,25,1.0,0.0,1.9285714285714288,39.1,87.0,9.4,25.3,19.1,23.5,12.5,34.0,23.2,5.5,4.7,13.7,19.2,106.7,25.8,3.99,94.9,0.504,809612,1.0
2014,21,1.0,1.0,2.565217391304348,39.0,82.7,8.1,22.4,20.2,25.0,10.8,33.9,21.9,8.3,6.1,15.3,22.7,106.2,26.2,6.34,95.4,0.52,746323,0.0
2014,27,1.0,1.0,3.1,40.6,83.5,8.5,21.4,15.7,20.0,9.3,34.0,25.2,7.4,5.1,14.4,18.2,105.4,28.9,7.72,95.0,0.537,755031,0.0
2014,24,1.0,0.0,1.4117647058823528,38.7,83.5,9.3,25.1,18.5,24.4,11.3,31.7,19.1,8.4,4.6,15.3,21.9,105.2,26.2,2.63,95.8,0.519,650739,2.0
2014,7,1.0,0.0,1.4848484848484849,39.6,83.6,8.8,22.9,16.8,21.1,10.2,30.7,23.6,8.6,4.3,13.5,20.0,104.8,30.6,2.4,93.5,0.526,817982,1.0
2014,8,1.0,0.0,0.7826086956521741,38.4,85.9,8.6,23.9,19.1,26.3,12.3,33.1,22.4,7.5,5.6,15.9,23.0,104.4,26.0,-2.15,98.1,0.4970000000000001,692898,2.0
2014,10,1.0,0.0,1.6451612903225807,39.5,85.4,9.4,24.8,15.9,21.1,10.9,34.4,23.3,7.8,5.0,15.2,21.8,104.3,26.3,4.8,96.2,0.517,803436,1.0
2014,14,1.0,0.0,0.4909090909090909,38.3,85.1,9.4,24.8,17.0,22.4,9.1,32.0,24.5,7.5,5.4,15.1,19.8,103.0,26.8,-6.29,98.7,0.505,771974,2.0
2014,16,0.0,1.0,1.9285714285714288,38.3,76.5,8.1,22.3,17.5,23.0,7.6,29.2,22.5,8.9,4.5,14.8,19.5,102.2,30.6,4.76,91.2,0.5539999999999999,811036,0.0
2014,28,0.0,0.0,1.4117647058823528,36.5,81.9,8.7,23.4,19.6,25.1,11.4,31.1,21.2,7.0,4.2,14.1,23.0,101.3,25.6,3.24,91.8,0.498,748339,0.0
2014,9,0.0,0.0,0.5471698113207547,38.8,86.9,6.2,19.3,17.3,25.7,14.6,30.8,20.9,8.4,4.8,14.5,20.3,101.0,24.7,-3.66,94.9,0.482,616005,2.0
2014,1,0.0,0.0,0.8636363636363636,37.3,81.6,9.4,25.8,17.0,21.7,8.7,31.3,24.9,8.3,4.0,15.3,19.2,101.0,27.5,-0.48,94.6,0.515,587927,1.0
2014,30,0.0,0.0,1.1578947368421053,38.7,84.4,7.9,20.8,15.3,20.9,10.8,31.4,23.3,8.1,4.6,14.7,20.4,100.7,26.3,1.27,93.2,0.506,698068,1.0
2014,26,1.0,0.0,0.5185185185185185,36.9,82.5,6.0,18.0,20.7,27.3,12.1,32.4,18.9,7.2,3.9,15.2,22.5,100.5,24.9,-2.9,94.4,0.484,667949,2.0
2014,19,1.0,0.0,0.7083333333333334,37.8,82.5,5.9,15.9,18.2,23.6,11.4,30.3,21.3,7.9,6.4,13.8,22.6,99.7,24.3,-2.71,92.2,0.495,672029,2.0
2014,23,0.0,0.0,0.3015873015873016,37.9,87.2,7.0,22.5,16.6,23.4,11.6,31.2,21.8,9.3,4.0,16.9,22.5,99.5,23.4,-10.45,99.2,0.475,568632,2.0
2014,20,0.0,0.0,0.8222222222222222,36.9,82.2,9.3,24.9,15.5,20.4,10.6,29.7,20.0,7.7,4.5,13.0,22.1,98.6,28.3,-0.79,90.3,0.505,812292,2.0
2014,3,0.0,0.0,1.1578947368421053,35.7,77.9,8.6,23.4,18.4,24.4,8.8,29.4,20.9,8.6,3.8,14.5,21.7,98.5,30.0,-1.0,91.4,0.514,707331,1.0
2014,6,0.0,0.0,0.6734693877551021,37.0,84.8,7.1,20.0,17.0,22.7,12.1,32.1,21.2,7.1,3.7,14.2,20.0,98.2,24.9,-3.29,93.1,0.479,710522,2.0
2014,4,0.0,0.0,1.1025641025641026,36.3,82.1,6.3,17.9,18.0,24.4,9.5,33.2,21.7,6.1,5.1,12.3,18.2,96.9,25.5,-0.22,92.4,0.481,636268,1.0
2014,12,0.0,1.0,2.1538461538461537,36.0,80.2,6.7,18.8,18.1,23.3,10.2,34.5,20.1,6.7,5.4,15.1,20.4,96.7,27.2,4.4,92.5,0.49,717542,0.0
2014,22,0.0,0.0,0.3898305084745763,36.9,82.7,6.9,19.5,15.9,20.9,9.7,32.4,21.0,7.7,4.3,14.9,20.5,96.5,24.6,-5.44,93.6,0.487,666046,2.0
2014,2,0.0,0.0,0.43859649122807015,36.5,83.9,7.0,21.1,16.2,20.8,12.0,30.5,21.0,7.1,4.2,15.4,21.3,96.2,25.4,-4.46,93.3,0.477,742400,2.0
2014,15,1.0,0.0,1.5625,38.1,82.0,4.9,14.0,15.1,20.3,11.6,30.8,21.9,7.7,4.6,13.7,19.1,96.1,28.5,1.57,89.9,0.494,685458,1.0
2014,17,0.0,0.0,0.22388059701492535,36.0,82.2,6.7,18.9,16.8,22.5,11.8,29.3,21.5,6.6,4.9,15.1,20.9,95.5,24.7,-8.18,91.8,0.479,552067,2.0
2014,29,1.0,0.0,0.43859649122807015,36.0,81.1,6.6,19.2,16.4,22.0,11.0,30.2,20.3,7.0,4.5,14.6,20.7,95.0,24.5,-7.17,91.4,0.484,745203,2.0
2014,5,0.0,0.0,1.4117647058823528,34.7,80.2,6.2,17.8,18.1,23.3,11.4,32.7,22.7,7.2,5.2,14.9,19.1,93.7,28.6,1.85,90.2,0.471,890370,0.0
2013,8,1.0,0.0,2.28,40.7,85.2,6.4,18.5,18.4,26.2,13.3,31.7,24.4,9.3,6.5,15.3,20.5,106.1,26.1,5.09,95.1,0.515,730616,0.0
2013,11,1.0,0.0,1.2162162162162162,38.1,82.7,10.6,28.9,19.2,25.5,11.1,32.3,23.2,8.3,4.4,16.4,20.3,106.0,24.4,3.48,96.1,0.525,683564,1.0
2013,21,1.0,1.0,2.727272727272727,38.1,79.3,7.3,19.4,22.2,26.8,10.4,33.2,21.4,8.3,7.6,15.3,20.2,105.7,26.0,9.21,93.3,0.527,746323,0.0
2013,27,1.0,0.0,2.4166666666666665,39.1,81.4,8.1,21.5,16.6,21.0,8.1,33.2,25.1,8.5,5.4,14.7,17.4,103.0,28.6,6.4,94.2,0.531,755700,0.0
2013,16,0.0,1.0,4.125,38.4,77.4,8.7,22.1,17.4,23.0,8.2,30.4,23.0,8.7,5.4,13.9,18.7,102.9,30.3,7.87,90.7,0.552,819290,0.0
